Liam Marks BOY  1 0.64
Angelo Roberson BOY  1532 2.24
Orion Weir BOY  1533 2.12
Conner Firth BOY  1534 0.39
Julius Everett BOY  1535 3.17
Marco Payne BOY  1536 0.95
Jensen Estes BOY  1537 0.8
Daxton Newman BOY  1538 2.39
Peyton Burrows BOY  1539 0.66
Zayn Cassidy BOY  1540 0.83
Collin Barton BOY  1541 3.1
Jaylen Ryder BOY  1542 2.35
Dakota Todd BOY  1543 3.97
Prince Duke BOY  1544 1.38
Johnny Cote BOY  1545 3.57
Kayson Curran BOY  1546 1.94
Cruz Atherton BOY  1547 3.07
Hendrix Simmonds BOY  1548 3.12
Atticus Farmer BOY  1549 0.19
Troy Villa BOY  1550 1.47
Kane Holt BOY  1551 0.8
Edgar Huang BOY  1552 3.59
Sergio Wall BOY  1553 0.66
Kash Wood BOY  1554 2.58
Marshall Villa BOY  1555 0.52
Johnathan Alvarado BOY  1556 3.55
Romeo Herbert BOY  1557 2.34
Shane Carson BOY  1558 2.04
Warren Vang BOY  1559 3.63
Joaquin Flores BOY  1560 3.28
Wade Lees BOY  1561 2.59
Leonel Goodman BOY  1562 1.96
Trevor Ireland BOY  1563 3.48
Dominick Todd BOY  1564 3.58
Muhammad Travis BOY  1565 0.93
Erik English BOY  1566 2.5
Odin Burnett BOY  1567 3.83
Quinn Quintero BOY  1568 1.35
Jaxton Sosa BOY  1569 3.01
Dalton Macleod BOY  1570 1.34
Nehemiah Stubbs BOY  1571 2.86
Frank Alvarado BOY  1572 3.54
Grady Hartley BOY  1573 1.76
Gregory Guy BOY  1574 3.55
Andy Mcfarlane BOY  1575 2.88
Solomon Sanchez BOY  1576 1.65
Malik Silva BOY  1577 1.34
Rory Randall BOY  1578 3.1
Clark Garcia BOY  1579 3.64
Reed Truong BOY  1580 2.4
Harvey Greenwood BOY  1581 0.08
Zayne Wiley BOY  1582 0.09
Jay Russo BOY  1583 2.02
Jared Mcghee BOY  1584 3.52
Noel Yang BOY  1585 3.76
Shawn Rutledge BOY  1586 2.47
Fabian Wong BOY  1587 3.34
Ibrahim Rodriquez BOY  1588 0.49
Adonis Cannon BOY  1589 0.85
Ismael Whitney BOY  1590 2.99
Pedro Lees BOY  1591 0.06
Leland Branch BOY  1592 2.62
Malakai Monroe BOY  1593 3.43
Malcolm Sanchez BOY  1594 2.24
Alexis Couch BOY  1595 1.26
Kason Dotson BOY  1596 0.99
Porter Wong BOY  1597 3.21
Sullivan Wall BOY  1598 2.01
Raiden Craft BOY  1599 3.81
Allen Adkins BOY  1600 2.41
Ari Salinas BOY  1601 1.3
Russell Peters BOY  1602 3.97
Princeton Dalby BOY  1603 1.44
Winston Grimes BOY  1604 3.28
Kendrick Baker BOY  1605 1.32
Roberto Herbert BOY  1606 2.05
Lennox Swift BOY  1607 0.36
Hayes Neale BOY  1608 3.8
Finnegan Hickman BOY  1609 2.19
Nasir Chambers BOY  1610 2.48
Kade Ferguson BOY  1611 0.84
Nico Frazier BOY  1612 2.06
Emanuel Wiggins BOY  1613 2.6
Landen Giles BOY  1614 1.92
Moises Ferry BOY  1615 1.58
Ruben Wood BOY  1616 1.46
Hugo Arellano BOY  1617 1.75
Abram Jarvis BOY  1618 3.49
Adan Donnelly BOY  1619 3.99
Khalil Southern BOY  1620 3.1
Zaiden Horton BOY  1621 1.46
Augustus Sharp BOY  1622 1.8
Marcos Cleveland BOY  1623 0.17
Philip Mellor BOY  1624 0.06
Phillip Colon BOY  1625 0.72
Cyrus Prentice BOY  1626 0.77
Esteban Lopez BOY  1627 1.55
Braylen Valencia BOY  1628 3.73
Albert Stein BOY  1629 3.58
Bruce Fenton BOY  1630 2.69
Kamden Adkins BOY  1631 1.57
Lawson Proctor BOY  1632 1.19
Jamison Dalton BOY  1633 0.28
Sterling Frederick BOY  1634 2.85
Damon Bannister BOY  1635 3.87
Gunnar Frost BOY  1636 2.91
Kyson Larson BOY  1637 0.91
Luka Dixon BOY  1638 1.96
Franklin Ayala BOY  1639 1.11
Ezequiel Mata BOY  1640 0.11
Pablo Soto BOY  1641 0.88
Derrick Villanueva BOY  1642 3.75
Zachariah English BOY  1643 1.27
Cade Bean BOY  1644 2.85
Jonas Greenaway BOY  1645 2.28
Dexter Cooper BOY  1646 2.22
Kolton Head BOY  1647 0.61
Remy Hood BOY  1648 0.98
Hank Cummings BOY  1649 0.28
Tate Ahmed BOY  1650 1.56
Trenton Salas BOY  1651 3.88
Kian Rennie BOY  1652 1.22
Drew Joyce BOY  1653 1.95
Mohamed Macdonald BOY  1654 3.81
Dax Hendricks BOY  1655 3.88
Rocco Thomson BOY  1656 3.96
Bowen Henderson BOY  1657 3.23
Mathias Mackenzie BOY  1658 1.55
Ronald Glover BOY  1659 2.86
Francis Curran BOY  1660 1.72
Matthias Millar BOY  1661 0.91
Milan Gilliam BOY  1662 3.9
Maximilian Middleton BOY  1663 3.43
Royce Norman BOY  1664 2.63
Skyler Martins BOY  1665 0.53
Corey Forbes BOY  1666 1.48
Kasen Crosby BOY  1667 3.89
Drake Mellor BOY  1668 0.2
Gerardo Stubbs BOY  1669 1.23
Jayson Donnelly BOY  1670 2.69
Sage Truong BOY  1671 3.64
Braylon Colon BOY  1672 3.16
Benson Browning BOY  1673 3.9
Moses Carpenter BOY  1674 1.81
Alijah Perez BOY  1675 0.63
Rhys Burt BOY  1676 0.08
Otto Franklin BOY  1677 2.42
Oakley Simmonds BOY  1678 1.62
Armando Connolly BOY  1679 2.79
Jaime Galloway BOY  1680 1.78
Nixon Humphrey BOY  1681 0.32
Saul Esparza BOY  1682 0.58
Scott Tucker BOY  1683 1.14
Brycen Huynh BOY  1684 0.13
Ariel Mckinney BOY  1685 1.89
Enrique Baker BOY  1686 0.04
Donald Copeland BOY  1687 1.26
Chandler Sharples BOY  1688 1.86
Asa Mckinney BOY  1689 2.44
Eden Townsend BOY  1690 1.61
Davis Bloggs BOY  1691 0.97
Keith Salter BOY  1692 2.53
Frederick Galloway BOY  1693 2.64
Rowen Millington BOY  1694 1.38
Lawrence House BOY  1695 0.23
Leonidas Penn BOY  1696 1.18
Aden Nguyen BOY  1697 0.52
Julio Ferguson BOY  1698 1.71
Darius Mclaughlin BOY  1699 1.76
Johan Combs BOY  1700 2.16
Deacon Pike BOY  1701 0.21
Cason Mccabe BOY  1702 1.06
Danny Dickerson BOY  1703 0.17
Nikolai Kaur BOY  1704 0.77
Taylor Vincent BOY  1705 2.63
Alec Mason BOY  1706 3.63
Royal Burrows BOY  1707 3.25
Armani Flower BOY  1708 3.13
Kieran Cervantes BOY  1709 1.92
Luciano Liu BOY  1710 1.45
Omari Conner BOY  1711 1.54
Rodrigo Glass BOY  1712 3.77
Arjun Farley BOY  1713 2.59
Ahmed Wilkes BOY  1714 2.48
Brendan Holt BOY  1715 1.46
Cullen Galindo BOY  1716 1.39
Raul Laing BOY  1717 0.67
Raphael Conrad BOY  1718 3.89
Ronin Gallegos BOY  1719 2.93
Brock Mcleod BOY  1720 1.86
Pierce Bowen BOY  1721 0.22
Alonzo Hernandez BOY  1722 2.26
Casey Brookes BOY  1723 2.88
Dillon Gunn BOY  1724 1.48
Uriel Christian BOY  1725 2.11
Dustin Kirby BOY  1726 1.15
Gianni Brewer BOY  1727 0.98
Roland Eastwood BOY  1728 3.55
Landyn Moreno BOY  1729 3.57
Kobe Rosas BOY  1730 0.24
Dorian Baxter BOY  1731 1.51
Emmitt Lyons BOY  1732 0.32
Ryland Garrett BOY  1733 1.5
Apollo Chadwick BOY  1734 2.43
Aarav Lucas BOY  1735 1.53
Roy Devlin BOY  1736 3.94
Duke Skinner BOY  1737 3.62
Quentin Carey BOY  1738 1.91
Sam Key BOY  1739 2.58
Lewis Harmon BOY  1740 0.01
Tony Holt BOY  1741 3.14
Uriah Ali BOY  1742 0.14
Dennis Greaves BOY  1743 0.14
Moshe Donnelly BOY  1744 0.32
Isaias Weiss BOY  1745 1.01
Braden Lutz BOY  1746 2.13
Quinton Cartwright BOY  1747 1.8
Cannon Snider BOY  1748 0.58
Ayaan Davila BOY  1749 0.63
Mathew Porter BOY  1750 0.69
Kellan Love BOY  1751 3.41
Niko Frame BOY  1752 3.06
Edison Hibbert BOY  1753 1.56
Izaiah Bell BOY  1754 1.3
Jerry Rigby BOY  1755 1.87
Gustavo Churchill BOY  1756 0.67
Jamari Page BOY  1757 0.9
Marvin Wilcox BOY  1758 2.38
Mauricio Howarth BOY  1759 3.52
Ahmad Carey BOY  1760 0.28
Mohammad Serrano BOY  1761 1.83
Justice Cole BOY  1762 2.14
Trey Derrick BOY  1763 1.23
Elian Banks BOY  1764 3.03
Mohammed Delarosa BOY  1765 0.14
Sincere Barton BOY  1766 0.76
Yusuf Dickson BOY  1767 3.08
Arturo Mcdowell BOY  1768 3.74
Callen Dunne BOY  1769 3.71
Rayan Sadler BOY  1770 1.87
Keaton Sandoval BOY  1771 2.74
Wilder Daly BOY  1772 2.91
Mekhi O'Reilly BOY  1773 0.71
Memphis Sims BOY  1774 2.56
Cayson Juarez BOY  1775 0.86
Conrad Huynh BOY  1776 0.37
Kaison Love BOY  1777 1.18
Kyree Hogg BOY  1778 3.39
Soren Lennon BOY  1779 3.2
Colby Mcgill BOY  1780 2.15
Bryant Vinson BOY  1781 3.12
Lucian Camacho BOY  1782 2.33
Alfredo Hood BOY  1783 1.57
Cassius Kouma BOY  1784 2.99
Marcelo Rennie BOY  1785 0.24
Nikolas Barrow BOY  1786 2.28
Brennan Foreman BOY  1787 1.52
Darren Gilmour BOY  1788 1.02
Jasiah Worthington BOY  1789 0.14
Jimmy Chambers BOY  1790 1.22
Lionel Richardson BOY  1791 2.11
Reece Morrow BOY  1792 2.52
Ty Lang BOY  1793 1.21
Chris Leal BOY  1794 3.31
Forrest Thorne BOY  1795 0.36
Korbin Kidd BOY  1796 0.77
Tatum Barrett BOY  1797 1.06
Jalen Koch BOY  1798 3.79
Santino Firth BOY  1799 3.53
Emma Ferguson GIRL  1800 1.26
Olivia Rees GIRL  1801 2.32
Ava Graves GIRL  1802 0.97
Isabella Pike GIRL  1803 1.01
Sophia Lutz GIRL  1804 2.75
Mia Harding GIRL  1805 3.36
Charlotte Williams GIRL  1806 2.37
Amelia Garrett GIRL  1807 3.14
Evelyn Petersen GIRL  1808 3.67
Abigail Tran GIRL  1809 3.83
Harper Mullen GIRL  1810 0.06
Emily Gilmore GIRL  1811 0.53
Elizabeth Connolly GIRL  1812 3.17
Avery Yu GIRL  1813 1.6
Sofia Benitez GIRL  1814 2.91
Ella Richard GIRL  1815 2.0
Madison Bartlett GIRL  1816 2.05
Scarlett Oakley GIRL  1817 1.59
Victoria Davila GIRL  1818 0.76
Aria Carroll GIRL  1819 0.72
Grace Holcomb GIRL  1820 3.34
Chloe Holder GIRL  1821 0.87
Camila Espinosa GIRL  1822 3.71
Penelope Sweeney GIRL  1823 0.15
Riley Lucas GIRL  1824 3.65
Layla Lam GIRL  1825 3.36
Lillian Davie GIRL  1826 1.95
Nora Spencer GIRL  1827 3.9
Zoey Smart GIRL  1828 0.44
Mila Ball GIRL  1829 2.75
Aubrey Blundell GIRL  1830 3.11
Hannah Finley GIRL  1831 0.93
Lily Broughton GIRL  1832 2.54
Addison Burnett GIRL  1833 2.59
Eleanor Mcdonnell GIRL  1834 1.62
Natalie Willis GIRL  1835 3.38
Luna Hibbert GIRL  1836 0.75
Savannah Chang GIRL  1837 0.77
Brooklyn Reeves GIRL  1838 1.43
Leah Brook GIRL  1839 2.73
Zoe Avery GIRL  1840 0.89
Stella Phan GIRL  1841 1.24
Hazel Fuller GIRL  1842 1.9
Ellie Reyes GIRL  1843 1.28
Paisley Smith GIRL  1844 2.21
Audrey Delacruz GIRL  1845 3.68
Skylar Talbot GIRL  1846 3.29
Violet Childs GIRL  1847 1.4
Claire Paterson GIRL  1848 0.89
Bella Mackie GIRL  1849 2.15
Aurora Kramer GIRL  1850 3.47
Lucy Burt GIRL  1851 3.66
Anna Swanson GIRL  1852 2.37
Samantha Harding GIRL  1853 1.38
Caroline Burrows GIRL  1854 3.6
Genesis Wolfe GIRL  1855 3.75
Aaliyah Nielsen GIRL  1856 1.95
Kennedy Elliott GIRL  1857 0.6
Kinsley Eaton GIRL  1858 3.1
Allison Combs GIRL  1859 3.74
Maya Pace GIRL  1860 0.68
Sarah Benton GIRL  1861 1.76
Madelyn Burrows GIRL  1862 1.27
Adeline Clegg GIRL  1863 1.5
Alexa Prince GIRL  1864 2.48
Ariana Madden GIRL  1865 1.66
Elena Marquez GIRL  1866 0.99
Gabriella Morales GIRL  1867 1.04
Naomi Samuels GIRL  1868 0.94
Alice Castillo GIRL  1869 3.39
Sadie Hendricks GIRL  1870 2.11
Hailey Gamble GIRL  1871 3.8
Eva Soto GIRL  1872 2.85
Emilia Fuller GIRL  1873 2.78
Autumn Weir GIRL  1874 1.6
Quinn Clifford GIRL  1875 1.29
Nevaeh Ross GIRL  1876 1.05
Piper Cousins GIRL  1877 2.25
Ruby Cullen GIRL  1878 0.76
Serenity Ochoa GIRL  1879 3.97
Willow Lees GIRL  1880 2.88
Everly Thatcher GIRL  1881 2.4
Cora Vinson GIRL  1882 0.65
Kaylee Huynh GIRL  1883 2.91
Lydia Combs GIRL  1884 1.85
Aubree Duke GIRL  1885 3.48
Arianna Cantu GIRL  1886 1.23
Eliana Herbert GIRL  1887 0.45
Peyton Ellwood GIRL  1888 0.31
Melanie Spencer GIRL  1889 3.91
Gianna Farrell GIRL  1890 0.09
Isabelle Frost GIRL  1891 0.89
Julia Ahmad GIRL  1892 0.15
Valentina Gonzales GIRL  1893 2.32
Nova Davey GIRL  1894 3.94
Clara Ball GIRL  1895 1.53
Vivian Daniels GIRL  1896 1.77
Reagan Stuart GIRL  1897 1.77
Mackenzie Jordan GIRL  1898 1.67
Madeline Simmonds GIRL  1899 3.92
Brielle Hurst GIRL  1900 3.75
Delilah Dunne GIRL  1901 3.28
Isla Yoder GIRL  1902 0.69
Rylee Morley GIRL  1903 0.13
Katherine Carter GIRL  1904 2.69
Sophie Grainger GIRL  1905 1.28
Josephine Flores GIRL  1906 2.74
Ivy Fuller GIRL  1907 1.57
Liliana Gill GIRL  1908 3.54
Jade Colon GIRL  1909 3.56
Maria Beltran GIRL  1910 3.62
Taylor Wang GIRL  1911 1.85
Hadley Wooten GIRL  1912 1.53
Kylie York GIRL  1913 0.47
Emery Andersen GIRL  1914 3.2
Adalynn Lu GIRL  1915 3.41
Natalia Fountain GIRL  1916 2.53
Annabelle Knowles GIRL  1917 3.91
Faith Wainwright GIRL  1918 3.41
Alexandra Penn GIRL  1919 2.78
Ximena Lucero GIRL  1920 2.89
Ashley Espinosa GIRL  1921 3.85
Brianna England GIRL  1922 1.05
Raelynn Macleod GIRL  1923 0.79
Bailey Melia GIRL  1924 2.84
Mary Parkes GIRL  1925 2.94
Athena Haney GIRL  1926 0.96
Andrea Zavala GIRL  1927 2.31
Leilani Glass GIRL  1928 0.82
Jasmine Swift GIRL  1929 2.6
Lyla Christensen GIRL  1930 3.45
Margaret Sexton GIRL  1931 3.2
Alyssa Wells GIRL  1932 0.55
Adalyn Corona GIRL  1933 3.91
Arya Joyner GIRL  1934 1.72
Norah David GIRL  1935 1.19
Khloe Mcguire GIRL  1936 2.99
Kayla Joyner GIRL  1937 0.54
Eden Yang GIRL  1938 0.85
Eliza Ratcliffe GIRL  1939 2.02
Rose Ibarra GIRL  1940 3.4
Ariel Boone GIRL  1941 0.24
Melody Austin GIRL  1942 2.8
Alexis Brewer GIRL  1943 0.43
Isabel Kramer GIRL  1944 0.88
Sydney Burris GIRL  1945 2.82
Juliana Hassan GIRL  1946 0.98
Lauren Pruitt GIRL  1947 3.46
Iris Leach GIRL  1948 3.27
Emerson Haigh GIRL  1949 2.63
London Kaiser GIRL  1950 0.25
Morgan Mckeown GIRL  1951 0.99
Lilly Erickson GIRL  1952 0.77
Charlie Cruz GIRL  1953 0.57
Aliyah Rooney GIRL  1954 0.36
Valeria Wolf GIRL  1955 1.51
Arabella Huynh GIRL  1956 0.37
Sara Grey GIRL  1957 3.94
Finley Cobb GIRL  1958 0.51
Trinity Patrick GIRL  1959 1.98
Ryleigh Paine GIRL  1960 2.7
Jordyn Reilly GIRL  1961 2.35
Jocelyn Reid GIRL  1962 0.05
Kimberly Johnson GIRL  1963 2.83
Esther Carroll GIRL  1964 1.18
Molly Delacruz GIRL  1965 3.05
Valerie Leech GIRL  1966 1.35
Cecilia Calhoun GIRL  1967 3.39
Anastasia Powers GIRL  1968 0.02
Daisy Haney GIRL  1969 3.76
Reese Payne GIRL  1970 1.33
Laila Krause GIRL  1971 0.24
Mya Rosas GIRL  1972 0.98
Amy Davies GIRL  1973 1.48
Teagan Nguyen GIRL  1974 0.49
Amaya Ellwood GIRL  1975 0.83
Elise Leach GIRL  1976 0.98
Harmony Frazier GIRL  1977 3.99
Paige Wheatley GIRL  1978 2.02
Adaline Downs GIRL  1979 0.78
Fiona Jordan GIRL  1980 3.05
Alaina Foreman GIRL  1981 0.14
Nicole Keller GIRL  1982 3.06
Genevieve Parker GIRL  1983 0.63
Lucia Terry GIRL  1984 2.69
Alina Aldred GIRL  1985 2.71
Mckenzie Whitehead GIRL  1986 3.2
Callie Salazar GIRL  1987 3.11
Payton Petty GIRL  1988 3.29
Eloise Wilcox GIRL  1989 0.09
Brooke Tang GIRL  1990 0.18
Londyn Orr GIRL  1991 0.47
Mariah Hills GIRL  1992 1.02
Julianna Long GIRL  1993 0.04
Rachel Booth GIRL  1994 0.87
Daniela Mcmahon GIRL  1995 0.07
Gracie Lang GIRL  1996 2.52
Catherine Murray GIRL  1997 0.55
Angelina Reynolds GIRL  1998 3.73
Presley Frost GIRL  1999 2.1
Josie Simmons GIRL  2000 0.87
Harley Ryder GIRL  2001 3.02
Adelyn Boyce GIRL  2002 2.46
Vanessa Cole GIRL  2003 3.29
Makayla William GIRL  2004 1.11
Parker Terry GIRL  2005 0.02
Juliette Carey GIRL  2006 3.72
Amara Kramer GIRL  2007 3.25
Marley Field GIRL  2008 0.27
Lila Zamora GIRL  2009 3.26
Ana Macdonald GIRL  2010 0.76
Rowan Wood GIRL  2011 3.53
Alana Walker GIRL  2012 0.04
Michelle Vega GIRL  2013 3.85
Malia Houghton GIRL  2014 3.18
Rebecca Stokes GIRL  2015 1.21
Brooklynn Fellows GIRL  2016 2.64
Brynlee Ahmad GIRL  2017 3.38
Summer Esparza GIRL  2018 2.97
Sloane Whitney GIRL  2019 1.83
Leila Reilly GIRL  2020 1.39
Sienna Nieves GIRL  2021 2.16
Adriana Benitez GIRL  2022 3.1
Sawyer Simpson GIRL  2023 1.35
Kendall Fellows GIRL  2024 0.9
Juliet Samuels GIRL  2025 2.67
Destiny Todd GIRL  2026 1.7
Alayna Cleveland GIRL  2027 2.97
Elliana Nash GIRL  2028 2.06
Diana Hayden GIRL  2029 3.19
Hayden Bernard GIRL  2030 2.38
Ayla Whitehead GIRL  2031 0.9
Dakota Milner GIRL  2032 1.65
Angela Hale GIRL  2033 1.71
Noelle Lester GIRL  2034 3.42
Rosalie Mata GIRL  2035 0.42
Joanna Hudson GIRL  2036 3.85
Jayla Blackburn GIRL  2037 0.27
Alivia Salazar GIRL  2038 3.0
Lola Tait GIRL  2039 3.37
Emersyn Dawe GIRL  2040 3.03
Georgia Hanson GIRL  2041 2.41
Selena Reeves GIRL  2042 3.29
June William GIRL  2043 2.31
Daleyza Brooks GIRL  2044 3.66
Tessa Gaines GIRL  2045 3.4
Maggie Silva GIRL  2046 3.85
Jessica Curran GIRL  2047 3.89
Remi Romero GIRL  2048 0.62
Delaney Tait GIRL  2049 1.13
Camille Leach GIRL  2050 3.85
Vivienne Rooney GIRL  2051 1.4
Hope Grainger GIRL  2052 0.97
Mckenna Farmer GIRL  2053 3.5
Gemma Roach GIRL  2054 3.08
Olive Hail GIRL  2055 2.75
Alexandria Hanson GIRL  2056 0.89
Blakely Fleming GIRL  2057 1.44
Izabella Henderson GIRL  2058 0.49
Catalina Terry GIRL  2059 0.92
Raegan Gay GIRL  2060 0.4
Journee York GIRL  2061 2.54
Gabrielle Burnett GIRL  2062 2.5
Lucille Morrow GIRL  2063 1.65
Ruth Gregory GIRL  2064 2.63
Amiyah Brewer GIRL  2065 2.02
Evangeline Brooks GIRL  2066 1.24
Blake Haigh GIRL  2067 0.91
Thea Cottrell GIRL  2068 0.33
Amina Davila GIRL  2069 3.43
Giselle Lake GIRL  2070 3.95
Lilah Truong GIRL  2071 1.75
Melissa Weeks GIRL  2072 3.79
River Frame GIRL  2073 0.36
Kate Day GIRL  2074 1.58
Adelaide Buckner GIRL  2075 3.17
Charlee Haney GIRL  2076 3.6
Vera Davies GIRL  2077 2.95
Leia Meadows GIRL  2078 1.11
Gabriela Stott GIRL  2079 0.04
Zara Villegas GIRL  2080 0.25
Jane Roberts GIRL  2081 1.89
Journey Hickman GIRL  2082 0.21
Elaina Summers GIRL  2083 1.32
Miriam Carter GIRL  2084 3.2
Briella Firth GIRL  2085 3.62
Stephanie Schmitt GIRL  2086 2.67
Cali Yu GIRL  2087 1.25
Ember Frame GIRL  2088 3.89
Lilliana Pennington GIRL  2089 0.96
Aniyah Forbes GIRL  2090 2.07
Logan Walsh GIRL  2091 0.15
Kamila Sharples GIRL  2092 0.85
Brynn Burris GIRL  2093 1.72
Ariella Cornish GIRL  2094 0.38
Makenzie Mohammed GIRL  2095 3.68
Annie Bonner GIRL  2096 0.47
Mariana Wilder GIRL  2097 1.36
Kali Pace GIRL  2098 0.77
Haven Tyler GIRL  2099 0.79
Elsie Tran GIRL  2100 1.55
Nyla Correa GIRL  2101 1.5
Paris Roach GIRL  2102 3.86
Lena Kouma GIRL  2103 2.21
Freya Gamble GIRL  2104 0.79
Adelynn Flores GIRL  2105 0.94
Lyric Bartlett GIRL  2106 0.76
Camilla Frank GIRL  2107 1.66
Sage Hess GIRL  2108 3.92
Jennifer Aguirre GIRL  2109 2.59
Paislee Lyons GIRL  2110 1.6
Talia Frost GIRL  2111 0.97
Alessandra Everett GIRL  2112 3.49
Juniper Kane GIRL  2113 1.93
Fatima Bender GIRL  2114 1.16
Raelyn Peck GIRL  2115 2.09
Amira English GIRL  2116 3.35
Arielle Ford GIRL  2117 0.8
Phoebe Becker GIRL  2118 0.32
Kinley Robson GIRL  2119 0.79
Ada Moon GIRL  2120 1.04
Nina Hail GIRL  2121 1.44
Ariah Gordon GIRL  2122 3.88
Samara Bender GIRL  2123 0.29
Myla Guy GIRL  2124 1.95
Brinley Andersen GIRL  2125 3.33
Cassidy Proctor GIRL  2126 3.77
Maci Perry GIRL  2127 3.91
Aspen Wooten GIRL  2128 1.34
Allie Salter GIRL  2129 1.85
Keira Brooks GIRL  2130 1.74
Kaia Howarth GIRL  2131 2.6
Makenna Rocha GIRL  2132 0.16
Amanda Hernandez GIRL  2133 0.41
Heaven Alvarado GIRL  2134 1.33
Joy Ford GIRL  2135 3.26
Lia Nelson GIRL  2136 2.35
Madilyn Greaves GIRL  2137 1.57
Gracelyn Avery GIRL  2138 3.29
Laura Ruiz GIRL  2139 1.83
Evelynn Buxton GIRL  2140 2.03
Lexi Love GIRL  2141 0.6
Haley Plummer GIRL  2142 1.48
Miranda Mercado GIRL  2143 0.52
Kaitlyn Hudson GIRL  2144 2.29
Daniella Elliott GIRL  2145 3.82
Felicity Houghton GIRL  2146 0.02
Jacqueline Oconnor GIRL  2147 3.5
Evie Whitney GIRL  2148 3.14
Angel Chase GIRL  2149 1.65
Danielle Roach GIRL  2150 2.45
Ainsley Dunlop GIRL  2151 2.52
Dylan Church GIRL  2152 0.72
Kiara Cleveland GIRL  2153 1.92
Millie Salter GIRL  2154 2.74
Jordan Hartley GIRL  2155 3.81
Maddison Wiley GIRL  2156 3.04
Rylie Hodgson GIRL  2157 2.19
Alicia Ferrell GIRL  2158 1.2
Maeve Rees GIRL  2159 2.02
Margot Langley GIRL  2160 3.13
Kylee Broughton GIRL  2161 0.76
Phoenix Pace GIRL  2162 2.69
Heidi Hudson GIRL  2163 0.2
Zuri Dyer GIRL  2164 1.27
Alondra Lott GIRL  2165 0.09
Lana Weir GIRL  2166 2.91
Madeleine Halliday GIRL  2167 2.44
Gracelynn Wolf GIRL  2168 2.35
Kenzie Mcloughlin GIRL  2169 2.97
Miracle Vaughan GIRL  2170 2.25
Shelby Gaines GIRL  2171 0.26
Elle Richardson GIRL  2172 0.82
Adrianna Robbins GIRL  2173 0.81
Bianca Firth GIRL  2174 2.27
Addilyn Hester GIRL  2175 2.72
Kira Dalton GIRL  2176 3.27
Veronica Bannister GIRL  2177 1.4
Gwendolyn Cooke GIRL  2178 0.8
Esmeralda Sosa GIRL  2179 3.92
Chelsea Holmes GIRL  2180 0.02
Alison Oakley GIRL  2181 3.69
Skyler Haas GIRL  2182 0.62
Magnolia O'Reilly GIRL  2183 3.75
Daphne Duke GIRL  2184 2.4
Jenna Conrad GIRL  2185 0.48
Everleigh Benitez GIRL  2186 2.55
Kyla Mcmillan GIRL  2187 2.65
Braelynn Tyson GIRL  2188 2.78
Harlow Yang GIRL  2189 3.23
Annalise Hamer GIRL  2190 0.37
Mikayla Cohen GIRL  2191 2.57
Dahlia Nielsen GIRL  2192 2.63
Maliyah Russell GIRL  2193 1.97
Averie Weeks GIRL  2194 1.97
Scarlet Edge GIRL  2195 0.53
Kayleigh Kirkpatrick GIRL  2196 2.24
Luciana Stubbs GIRL  2197 3.55
Kelsey Goldsmith GIRL  2198 2.68
Nadia Chen GIRL  2199 1.78
Amber Sears GIRL  2200 0.61
Gia Parry GIRL  2201 3.84
Kamryn Lennon GIRL  2202 3.57
Yaretzi Walls GIRL  2203 3.07
Carmen Randall GIRL  2204 1.65
Jimena Guy GIRL  2205 0.96
Erin Tanner GIRL  2206 3.69
Christina Salazar GIRL  2207 2.44
Katie Ferry GIRL  2208 1.41
Ryan Jarvis GIRL  2209 1.7
Viviana Mcdougall GIRL  2210 1.69
Alexia Hunt GIRL  2211 0.53
Anaya Pace GIRL  2212 1.47
Serena Alvarado GIRL  2213 2.94
Katelyn Gould GIRL  2214 1.58
Ophelia Mcloughlin GIRL  2215 1.79
Regina Hahn GIRL  2216 3.64
Helen Henry GIRL  2217 3.4
Remington Cleveland GIRL  2218 3.06
Camryn Clegg GIRL  2219 1.62
Cadence Duncan GIRL  2220 2.74
Royalty Tait GIRL  2221 0.31
Amari Brooks GIRL  2222 3.53
Kathryn Stein GIRL  2223 2.13
Skye Merritt GIRL  2224 3.67
Emely Andersen GIRL  2225 0.42
Jada O'Sullivan GIRL  2226 3.73
Ariyah Alexander GIRL  2227 2.34
Aylin Bannister GIRL  2228 1.51
Saylor Rowley GIRL  2229 2.95
Kendra Conley GIRL  2230 2.87
Cheyenne Greenwood GIRL  2231 2.13
Fernanda Morse GIRL  2232 0.36
Sabrina Prentice GIRL  2233 0.63
Francesca Shannon GIRL  2234 1.24
Eve Whitehouse GIRL  2235 3.94
Mckinley Colon GIRL  2236 2.42
Frances Blaese GIRL  2237 1.98
Sarai Puckett GIRL  2238 1.59
Carolina Terry GIRL  2239 3.02
Kennedi Webster GIRL  2240 2.72
Nylah Murray GIRL  2241 3.95
Tatum Peralta GIRL  2242 3.56
Alani Mcloughlin GIRL  2243 2.63
Lennon Hunter GIRL  2244 0.34
Raven Ingram GIRL  2245 2.49
Zariah Hills GIRL  2246 2.45
Leslie Schaefer GIRL  2247 2.91
Winter Mcmanus GIRL  2248 3.93
Abby Chambers GIRL  2249 3.43
Mabel Allan GIRL  2250 1.58
Sierra Mackie GIRL  2251 3.01
April Currie GIRL  2252 3.95
Willa Murray GIRL  2253 0.02
Carly Silva GIRL  2254 3.8
Jolene Maddox GIRL  2255 1.48
Rosemary York GIRL  2256 2.34
