Liam Spencer BOY  1 2.83
Atlas Hood BOY  1528 0.4
Major Ayala BOY  1529 2.31
Devin Harper BOY  1530 1.3
Edwin Wilcox BOY  1531 3.99
Angelo Derrick BOY  1532 2.31
Orion Crosby BOY  1533 1.53
Conner Sanderson BOY  1534 2.98
Julius Blake BOY  1535 1.28
Marco Vinson BOY  1536 1.18
Jensen Hogg BOY  1537 3.62
Daxton Heaton BOY  1538 0.25
Peyton Rutledge BOY  1539 1.92
Zayn Talbot BOY  1540 3.79
Collin Bright BOY  1541 0.06
Jaylen Morse BOY  1542 3.82
Dakota Pickett BOY  1543 2.74
Prince Snider BOY  1544 3.14
Johnny Hills BOY  1545 0.47
Kayson Craft BOY  1546 3.09
Cruz Dawe BOY  1547 0.81
Hendrix Lord BOY  1548 3.7
Atticus Craft BOY  1549 0.41
Troy Mcdougall BOY  1550 1.33
Kane Mejia BOY  1551 0.29
Edgar Finnegan BOY  1552 3.44
Sergio Riley BOY  1553 2.6
Kash James BOY  1554 0.87
Marshall Ventura BOY  1555 1.28
Johnathan Smith BOY  1556 1.91
Romeo Hernandez BOY  1557 2.5
Shane Joseph BOY  1558 2.65
Warren Choi BOY  1559 3.6
Joaquin Santana BOY  1560 0.68
Wade Wu BOY  1561 0.91
Leonel Tait BOY  1562 2.76
Trevor Lang BOY  1563 2.22
Dominick Crosby BOY  1564 1.75
Muhammad Soto BOY  1565 2.48
Erik Sawyer BOY  1566 2.88
Odin Ross BOY  1567 0.53
Quinn Curran BOY  1568 0.9
Jaxton Bates BOY  1569 3.47
Dalton Wicks BOY  1570 3.87
Nehemiah Mullen BOY  1571 3.61
Frank Halliday BOY  1572 2.49
Grady Stuart BOY  1573 0.31
Gregory Nash BOY  1574 0.53
Andy Goodman BOY  1575 3.7
Solomon Howarth BOY  1576 3.78
Malik Silva BOY  1577 3.12
Rory Clifford BOY  1578 2.04
Clark Sharples BOY  1579 2.07
Reed Field BOY  1580 0.67
Harvey Dolan BOY  1581 3.01
Zayne Craft BOY  1582 1.58
Jay Barton BOY  1583 1.71
Jared Arroyo BOY  1584 2.53
Noel Weber BOY  1585 2.83
Shawn Solomon BOY  1586 3.31
Fabian Gordon BOY  1587 1.64
Ibrahim Hendricks BOY  1588 2.07
Adonis Kaur BOY  1589 1.81
Ismael Beech BOY  1590 0.46
Pedro Needham BOY  1591 2.14
Leland Wilcox BOY  1592 3.76
Malakai Love BOY  1593 1.69
Malcolm Mclaughlin BOY  1594 0.64
Alexis Tanner BOY  1595 2.8
Kason Daniel BOY  1596 3.37
Porter Mcmillan BOY  1597 3.03
Sullivan May BOY  1598 2.94
Raiden Olson BOY  1599 1.8
Allen Mclean BOY  1600 2.75
Ari Macdonald BOY  1601 1.7
Russell Dougherty BOY  1602 3.52
Princeton Compton BOY  1603 2.19
Winston Lu BOY  1604 3.17
Kendrick Boone BOY  1605 0.98
Roberto Rigby BOY  1606 1.18
Lennox Case BOY  1607 1.17
Hayes Barrow BOY  1608 2.58
Finnegan Pearson BOY  1609 0.2
Nasir Blaese BOY  1610 1.16
Kade Schmitt BOY  1611 0.22
Nico Shea BOY  1612 3.48
Emanuel Blackburn BOY  1613 2.5
Landen Mcnally BOY  1614 3.92
Moises Heaton BOY  1615 0.69
Ruben Bender BOY  1616 2.37
Hugo Meadows BOY  1617 2.13
Abram Mohammed BOY  1618 2.91
Adan Andersen BOY  1619 2.79
Khalil Cornish BOY  1620 3.39
Zaiden Anthony BOY  1621 1.61
Augustus Delacruz BOY  1622 2.24
Marcos Hester BOY  1623 1.81
Philip Roy BOY  1624 1.18
Phillip Palacios BOY  1625 3.0
Cyrus Allen BOY  1626 0.43
Esteban Russell BOY  1627 0.46
Braylen Wyatt BOY  1628 3.99
Albert Morton BOY  1629 3.87
Bruce Novak BOY  1630 3.66
Kamden Noel BOY  1631 0.37
Lawson Lennon BOY  1632 0.81
Jamison Mcdougall BOY  1633 2.68
Sterling Mcgee BOY  1634 1.43
Damon Newman BOY  1635 1.37
Gunnar Griffith BOY  1636 0.23
Kyson Davey BOY  1637 0.81
Luka Oakley BOY  1638 1.08
Franklin Liu BOY  1639 1.26
Ezequiel Beltran BOY  1640 0.05
Pablo Spencer BOY  1641 2.94
Derrick Simpson BOY  1642 1.44
Zachariah Wooten BOY  1643 2.98
Cade Iles BOY  1644 0.79
Jonas Griffith BOY  1645 0.11
Dexter Hurley BOY  1646 3.39
Kolton Swift BOY  1647 3.95
Remy Crawford BOY  1648 1.59
Hank Cantu BOY  1649 2.81
Tate Gutierrez BOY  1650 1.43
Trenton Carson BOY  1651 1.18
Kian Plummer BOY  1652 1.72
Drew Beltran BOY  1653 1.92
Mohamed Hartman BOY  1654 0.14
Dax Hurst BOY  1655 1.85
Rocco Penn BOY  1656 2.15
Bowen Cleveland BOY  1657 2.85
Mathias Mcloughlin BOY  1658 3.74
Ronald Mooney BOY  1659 3.79
Francis Talbot BOY  1660 0.87
Matthias Johns BOY  1661 0.98
Milan Blundell BOY  1662 1.24
Maximilian Moon BOY  1663 3.1
Royce Duke BOY  1664 1.09
Skyler Laing BOY  1665 2.12
Corey Mendez BOY  1666 0.11
Kasen Pierce BOY  1667 0.82
Drake Mullen BOY  1668 0.8
Gerardo Love BOY  1669 2.82
Jayson Robson BOY  1670 1.93
Sage Byrne BOY  1671 1.64
Braylon Doyle BOY  1672 3.98
Benson Frame BOY  1673 1.11
Moses Morton BOY  1674 2.36
Alijah Roach BOY  1675 0.8
Rhys Wooten BOY  1676 1.34
Otto Garner BOY  1677 3.84
Oakley Melia BOY  1678 0.12
Armando Delgado BOY  1679 0.31
Jaime Barrow BOY  1680 2.51
Nixon Horton BOY  1681 0.52
Saul Reynolds BOY  1682 3.41
Scott Nguyen BOY  1683 3.35
Brycen Davies BOY  1684 3.42
Ariel Davie BOY  1685 1.59
Enrique Golden BOY  1686 2.22
Donald Harmon BOY  1687 0.72
Chandler Barton BOY  1688 1.02
Asa Zavala BOY  1689 2.92
Eden Grimes BOY  1690 1.26
Davis Estes BOY  1691 3.29
Keith Bannister BOY  1692 3.23
Frederick Lim BOY  1693 2.78
Rowen Glass BOY  1694 2.64
Lawrence Bannister BOY  1695 3.69
Leonidas Rodriquez BOY  1696 1.21
Aden Barrett BOY  1697 1.31
Julio Beltran BOY  1698 3.54
Darius Rowley BOY  1699 2.63
Johan Soto BOY  1700 0.52
Deacon Ryder BOY  1701 1.65
Cason Curtis BOY  1702 3.13
Danny Yu BOY  1703 1.05
Nikolai Dalby BOY  1704 1.35
Taylor Vega BOY  1705 3.61
Alec O'Ryan BOY  1706 3.32
Royal Mcguire BOY  1707 3.53
Armani Pickett BOY  1708 1.99
Kieran Avalos BOY  1709 2.12
Luciano Sparks BOY  1710 2.97
Omari Boyce BOY  1711 0.44
Rodrigo Ferrell BOY  1712 3.23
Arjun Mccabe BOY  1713 3.08
Ahmed Schwartz BOY  1714 1.86
Brendan O'Doherty BOY  1715 0.75
Cullen Benjamin BOY  1716 1.63
Raul Petty BOY  1717 2.21
Raphael Fountain BOY  1718 0.32
Ronin Sanderson BOY  1719 2.05
Brock Arroyo BOY  1720 1.61
Pierce Hanson BOY  1721 1.7
Alonzo Yu BOY  1722 2.78
Casey Frame BOY  1723 0.56
Dillon Lucas BOY  1724 0.83
Uriel Hensley BOY  1725 0.37
Dustin Hayward BOY  1726 1.76
Gianni Dougherty BOY  1727 2.95
Roland Duke BOY  1728 3.09
Landyn Oconnor BOY  1729 2.53
Kobe Rees BOY  1730 3.45
Dorian Solomon BOY  1731 2.63
Emmitt Guthrie BOY  1732 0.34
Ryland Burton BOY  1733 0.11
Apollo Soto BOY  1734 2.16
Aarav Liu BOY  1735 1.77
Roy Magana BOY  1736 3.2
Duke Proctor BOY  1737 0.0
Quentin Dalby BOY  1738 2.21
Sam Reilly BOY  1739 2.04
Lewis Austin BOY  1740 0.75
Tony Levine BOY  1741 2.51
Uriah Calhoun BOY  1742 2.09
Dennis Guy BOY  1743 1.59
Moshe Tucker BOY  1744 2.86
Isaias Horner BOY  1745 2.26
Braden Morrow BOY  1746 1.02
Quinton English BOY  1747 1.69
Cannon Lucas BOY  1748 1.53
Ayaan Broadhurst BOY  1749 1.11
Mathew Chase BOY  1750 2.89
Kellan O'Doherty BOY  1751 1.69
Niko Greaves BOY  1752 2.7
Edison Clifford BOY  1753 0.49
Izaiah Acevedo BOY  1754 0.1
Jerry Pitt BOY  1755 2.37
Gustavo Vega BOY  1756 1.44
Jamari Alexander BOY  1757 2.71
Marvin Allman BOY  1758 0.43
Mauricio Hernandez BOY  1759 2.04
Ahmad Alcock BOY  1760 2.54
Mohammad Caldwell BOY  1761 1.29
Justice Morgan BOY  1762 2.49
Trey Holloway BOY  1763 2.8
Elian Wu BOY  1764 0.29
Mohammed Lucero BOY  1765 2.53
Sincere Swanson BOY  1766 3.9
Yusuf Mcculloch BOY  1767 1.18
Arturo Bowes BOY  1768 2.61
Callen Clifford BOY  1769 3.11
Rayan Davenport BOY  1770 2.79
Keaton Jacobson BOY  1771 2.83
Wilder Guy BOY  1772 2.82
Mekhi Mayo BOY  1773 3.4
Memphis Banks BOY  1774 2.57
Cayson Corrigan BOY  1775 1.37
Conrad Becker BOY  1776 3.63
Kaison Rice BOY  1777 2.65
Kyree Barrow BOY  1778 0.02
Soren Mcfarland BOY  1779 0.18
Colby Parker BOY  1780 2.68
Bryant Yang BOY  1781 1.27
Lucian Fowler BOY  1782 0.85
Alfredo Hook BOY  1783 3.65
Cassius Mora BOY  1784 0.37
Marcelo Baker BOY  1785 2.5
Nikolas Horton BOY  1786 3.07
Brennan Lugo BOY  1787 3.87
Darren Samuels BOY  1788 1.43
Jasiah Frost BOY  1789 0.79
Jimmy Barton BOY  1790 2.61
Lionel Mcdermott BOY  1791 0.71
Reece Yoder BOY  1792 3.99
Ty Mellor BOY  1793 3.7
Chris Harding BOY  1794 2.5
Forrest Ahmed BOY  1795 0.64
Korbin Smith BOY  1796 2.26
Tatum Carpenter BOY  1797 1.26
Jalen King BOY  1798 3.01
Santino Woodard BOY  1799 0.23
Emma Devine GIRL  1800 1.55
Olivia Galloway GIRL  1801 0.55
Ava Ferry GIRL  1802 3.21
Isabella Simons GIRL  1803 3.66
Sophia Donaldson GIRL  1804 3.59
Mia Simmonds GIRL  1805 2.7
Charlotte Day GIRL  1806 2.98
Amelia Wallace GIRL  1807 0.52
Evelyn Salinas GIRL  1808 2.05
Abigail Hall GIRL  1809 3.45
Harper Horton GIRL  1810 1.68
Emily Mejia GIRL  1811 1.8
Elizabeth Paine GIRL  1812 2.28
Avery Schultz GIRL  1813 2.26
Sofia Corrigan GIRL  1814 2.43
Ella Rangel GIRL  1815 1.18
Madison Rigby GIRL  1816 3.46
Scarlett Patterson GIRL  1817 0.91
Victoria Pickett GIRL  1818 0.51
Aria Saunders GIRL  1819 0.62
Grace Sims GIRL  1820 1.27
Chloe Stewart GIRL  1821 0.84
Camila Amos GIRL  1822 1.41
Penelope Diaz GIRL  1823 0.59
Riley Tait GIRL  1824 0.11
Layla Booker GIRL  1825 0.73
Lillian Ferrell GIRL  1826 1.69
Nora Preston GIRL  1827 3.54
Zoey Leigh GIRL  1828 1.79
Mila Mcgill GIRL  1829 0.08
Aubrey Hood GIRL  1830 3.26
Hannah Greaves GIRL  1831 0.93
Lily Farrell GIRL  1832 2.83
Addison Clegg GIRL  1833 3.33
Eleanor Chung GIRL  1834 1.44
Natalie Compton GIRL  1835 2.22
Luna Yoder GIRL  1836 0.75
Savannah Oneal GIRL  1837 3.51
Brooklyn Simons GIRL  1838 2.99
Leah Case GIRL  1839 2.61
Zoe Southern GIRL  1840 1.11
Stella Morse GIRL  1841 1.27
Hazel Mayo GIRL  1842 2.18
Ellie Chambers GIRL  1843 2.6
Paisley Hamer GIRL  1844 3.41
Audrey Williams GIRL  1845 0.19
Skylar Mercer GIRL  1846 1.01
Violet Amos GIRL  1847 2.72
Claire Prentice GIRL  1848 1.95
Bella Lim GIRL  1849 3.95
Aurora Yang GIRL  1850 2.2
Lucy Mcgee GIRL  1851 1.81
Anna Esquivel GIRL  1852 2.09
Samantha Sosa GIRL  1853 2.54
Caroline Arnold GIRL  1854 3.22
Genesis Hale GIRL  1855 1.42
Aaliyah Pollard GIRL  1856 0.49
Kennedy Clifford GIRL  1857 3.6
Kinsley Hope GIRL  1858 0.88
Allison Roy GIRL  1859 0.2
Maya Peel GIRL  1860 0.88
Sarah Melton GIRL  1861 2.67
Madelyn Fuller GIRL  1862 1.86
Adeline Donnelly GIRL  1863 0.91
Alexa Rooney GIRL  1864 2.96
Ariana Henderson GIRL  1865 3.41
Elena Austin GIRL  1866 1.83
Gabriella Childs GIRL  1867 1.71
Naomi Hinton GIRL  1868 3.27
Alice Esparza GIRL  1869 0.84
Sadie Wong GIRL  1870 0.01
Hailey Perez GIRL  1871 2.85
Eva Rosario GIRL  1872 3.42
Emilia Guthrie GIRL  1873 1.97
Autumn Walmsley GIRL  1874 1.78
Quinn Avila GIRL  1875 0.98
Nevaeh Redmond GIRL  1876 0.41
Piper Skinner GIRL  1877 0.63
Ruby Hansen GIRL  1878 3.99
Serenity Holcomb GIRL  1879 2.92
Willow Davenport GIRL  1880 0.41
Everly Blair GIRL  1881 0.94
Cora Johnson GIRL  1882 1.86
Kaylee Firth GIRL  1883 0.32
Lydia Donaldson GIRL  1884 3.19
Aubree Lam GIRL  1885 2.15
Arianna Stokes GIRL  1886 0.82
Eliana Avery GIRL  1887 2.29
Peyton Travis GIRL  1888 1.27
Melanie Jordan GIRL  1889 0.03
Gianna Wade GIRL  1890 2.73
Isabelle Ibarra GIRL  1891 0.93
Julia Lennon GIRL  1892 1.75
Valentina Cantrell GIRL  1893 1.99
Nova Macdonald GIRL  1894 2.86
Clara Rigby GIRL  1895 0.84
Vivian Duke GIRL  1896 2.13
Reagan Waller GIRL  1897 0.24
Mackenzie Mack GIRL  1898 2.46
Madeline Lucero GIRL  1899 1.49
Brielle Burt GIRL  1900 1.42
Delilah Patrick GIRL  1901 1.3
Isla Dixon GIRL  1902 2.71
Rylee Anderson GIRL  1903 1.8
Katherine Redman GIRL  1904 1.33
Sophie Craft GIRL  1905 1.47
Josephine Andersen GIRL  1906 0.6
Ivy Paul GIRL  1907 2.55
Liliana Buckley GIRL  1908 1.07
Jade Calhoun GIRL  1909 0.6
Maria Strickland GIRL  1910 2.62
Taylor Meadows GIRL  1911 2.64
Hadley Atherton GIRL  1912 0.35
Kylie Charles GIRL  1913 1.37
Emery Coffey GIRL  1914 1.11
Adalynn Burris GIRL  1915 3.9
Natalia Fellows GIRL  1916 0.61
Annabelle Giles GIRL  1917 0.78
Faith Cortes GIRL  1918 3.46
Alexandra Escobar GIRL  1919 3.94
Ximena Findlay GIRL  1920 3.84
Ashley Randall GIRL  1921 3.58
Brianna Snider GIRL  1922 3.95
Raelynn Barr GIRL  1923 3.11
Bailey Mackenzie GIRL  1924 1.6
Mary Kirkland GIRL  1925 2.82
Athena Davies GIRL  1926 3.43
Andrea Olson GIRL  1927 1.03
Leilani Scott GIRL  1928 3.06
Jasmine Johns GIRL  1929 0.37
Lyla Redman GIRL  1930 3.73
Margaret Chung GIRL  1931 0.71
Alyssa Stevenson GIRL  1932 1.86
Adalyn Jimenez GIRL  1933 3.77
Arya Mitchell GIRL  1934 1.68
Norah Rivera GIRL  1935 0.16
Khloe Webb GIRL  1936 0.18
Kayla Moore GIRL  1937 3.58
Eden Noel GIRL  1938 3.25
Eliza Rosas GIRL  1939 2.05
Rose Mcdermott GIRL  1940 1.98
Ariel Bannister GIRL  1941 3.46
Melody Tucker GIRL  1942 2.86
Alexis Coleman GIRL  1943 1.97
Isabel Rodrigues GIRL  1944 3.68
Sydney Stokes GIRL  1945 2.96
Juliana Miller GIRL  1946 2.46
Lauren Gardner GIRL  1947 3.26
Iris Carey GIRL  1948 2.63
Emerson Long GIRL  1949 1.51
London Pierce GIRL  1950 3.95
Morgan Huffman GIRL  1951 3.95
Lilly Alvarado GIRL  1952 2.48
Charlie Evans GIRL  1953 3.98
Aliyah Ashley GIRL  1954 0.54
Valeria Ashton GIRL  1955 1.53
Arabella Sparrow GIRL  1956 0.46
Sara Washington GIRL  1957 1.11
Finley Dillard GIRL  1958 1.27
Trinity Browne GIRL  1959 2.84
Ryleigh Pope GIRL  1960 2.95
Jordyn Robin GIRL  1961 1.98
Jocelyn Farmer GIRL  1962 1.76
Kimberly Schaefer GIRL  1963 2.94
Esther O'Doherty GIRL  1964 3.64
Molly Salinas GIRL  1965 1.09
Valerie Wilkes GIRL  1966 0.99
Cecilia O'Connor GIRL  1967 2.5
Anastasia Duke GIRL  1968 2.36
Daisy Wagstaff GIRL  1969 2.77
Reese Hobbs GIRL  1970 0.66
Laila Valencia GIRL  1971 2.15
Mya Rodriquez GIRL  1972 0.79
Amy Noel GIRL  1973 2.87
Teagan Schwartz GIRL  1974 1.22
Amaya Mccallum GIRL  1975 2.21
Elise Nash GIRL  1976 1.1
Harmony Chen GIRL  1977 0.76
Paige Bernard GIRL  1978 3.25
Adaline Barrett GIRL  1979 1.22
Fiona Dougherty GIRL  1980 2.32
Alaina Peralta GIRL  1981 3.63
Nicole Cole GIRL  1982 2.78
Genevieve Lacey GIRL  1983 1.07
Lucia Grant GIRL  1984 1.02
Alina George GIRL  1985 2.45
Mckenzie Lees GIRL  1986 1.99
Callie Bonner GIRL  1987 3.76
Payton Dunne GIRL  1988 1.93
Eloise Palacios GIRL  1989 0.46
Brooke Knott GIRL  1990 2.9
Londyn Howell GIRL  1991 3.27
Mariah Holder GIRL  1992 2.34
Julianna Barton GIRL  1993 0.45
Rachel Bradshaw GIRL  1994 2.88
Daniela Stubbs GIRL  1995 1.78
Gracie Cummings GIRL  1996 3.23
Catherine Elliott GIRL  1997 2.8
Angelina Maguire GIRL  1998 2.81
Presley Petty GIRL  1999 2.02
Josie Moon GIRL  2000 0.54
Harley Roche GIRL  2001 0.04
Adelyn Dougherty GIRL  2002 0.7
Vanessa Christensen GIRL  2003 1.42
Makayla Blair GIRL  2004 1.48
Parker Stark GIRL  2005 3.74
Juliette Meadows GIRL  2006 1.59
Amara Williamson GIRL  2007 0.9
Marley Rayner GIRL  2008 1.51
Lila Gordon GIRL  2009 1.16
Ana Hough GIRL  2010 2.68
Rowan Rahman GIRL  2011 2.83
Alana Carpenter GIRL  2012 3.08
Michelle Weber GIRL  2013 1.81
Malia Vega GIRL  2014 1.21
Rebecca Morton GIRL  2015 0.41
Brooklynn Ritter GIRL  2016 2.49
Brynlee Johns GIRL  2017 3.96
Summer Owen GIRL  2018 2.51
Sloane Christian GIRL  2019 2.55
Leila Herbert GIRL  2020 2.95
Sienna Griffith GIRL  2021 1.58
Adriana Whitney GIRL  2022 1.06
Sawyer Golden GIRL  2023 2.39
Kendall Fulton GIRL  2024 3.09
Juliet Allison GIRL  2025 2.98
Destiny Vincent GIRL  2026 3.1
Alayna Barrett GIRL  2027 3.52
Elliana Knott GIRL  2028 0.6
Diana Lin GIRL  2029 2.75
Hayden Day GIRL  2030 1.0
Ayla Thomson GIRL  2031 2.3
Dakota Powell GIRL  2032 3.8
Angela Conley GIRL  2033 3.72
Noelle Myers GIRL  2034 3.97
Rosalie Harrison GIRL  2035 3.15
Joanna Grant GIRL  2036 0.69
Jayla Hensley GIRL  2037 0.17
Alivia Daugherty GIRL  2038 1.12
Lola Henderson GIRL  2039 3.8
Emersyn O'Doherty GIRL  2040 2.43
Georgia Mccabe GIRL  2041 0.99
Selena Esparza GIRL  2042 1.72
June Andersen GIRL  2043 2.52
Daleyza Houston GIRL  2044 1.16
Tessa Pearce GIRL  2045 2.31
Maggie Winter GIRL  2046 3.34
Jessica Philip GIRL  2047 3.7
Remi Leech GIRL  2048 3.82
Delaney Wheatley GIRL  2049 2.63
Camille Lugo GIRL  2050 1.27
Vivienne Rees GIRL  2051 1.21
Hope Casey GIRL  2052 0.65
Mckenna Cervantes GIRL  2053 0.69
Gemma Wallace GIRL  2054 1.03
Olive Hernandez GIRL  2055 3.91
Alexandria Bloom GIRL  2056 3.24
Blakely Simmonds GIRL  2057 0.06
Izabella Hartley GIRL  2058 0.61
Catalina Rodgers GIRL  2059 2.75
Raegan Hunt GIRL  2060 2.18
Journee Searle GIRL  2061 3.88
Gabrielle Weir GIRL  2062 3.72
Lucille Blair GIRL  2063 0.08
Ruth Donald GIRL  2064 0.8
Amiyah Thorne GIRL  2065 3.27
Evangeline Metcalfe GIRL  2066 0.52
Blake Vincent GIRL  2067 1.24
Thea Watkins GIRL  2068 2.94
Amina Moran GIRL  2069 2.38
Giselle Hogan GIRL  2070 1.06
Lilah Baker GIRL  2071 1.9
Melissa Wiley GIRL  2072 1.39
River Warner GIRL  2073 3.58
Kate Olson GIRL  2074 0.11
Adelaide Anthony GIRL  2075 0.2
Charlee Pate GIRL  2076 1.22
Vera Dillard GIRL  2077 0.13
Leia Jacobson GIRL  2078 3.26
Gabriela Simmonds GIRL  2079 0.6
Zara Nelson GIRL  2080 3.45
Jane Brooks GIRL  2081 3.98
Journey Oneil GIRL  2082 3.61
Elaina Farrell GIRL  2083 3.97
Miriam Bostock GIRL  2084 0.07
Briella Ramos GIRL  2085 0.99
Stephanie Downes GIRL  2086 3.97
Cali Gay GIRL  2087 0.61
Ember Yang GIRL  2088 0.92
Lilliana Wells GIRL  2089 2.12
Aniyah Hibbert GIRL  2090 1.21
Logan Petersen GIRL  2091 2.98
Kamila Plummer GIRL  2092 0.96
Brynn Henry GIRL  2093 3.84
Ariella Hale GIRL  2094 0.98
Makenzie Murray GIRL  2095 0.97
Annie Snider GIRL  2096 3.93
Mariana Peck GIRL  2097 0.11
Kali Cook GIRL  2098 3.53
Haven Tucker GIRL  2099 3.11
Elsie Sharples GIRL  2100 1.0
Nyla Wall GIRL  2101 0.65
Paris Glover GIRL  2102 2.59
Lena Shah GIRL  2103 1.44
Freya Huber GIRL  2104 0.37
Adelynn Hoover GIRL  2105 3.86
Lyric Peralta GIRL  2106 2.35
Camilla Bonilla GIRL  2107 2.4
Sage Proctor GIRL  2108 0.84
Jennifer Schaefer GIRL  2109 1.25
Paislee Foley GIRL  2110 1.1
Talia Whitehead GIRL  2111 0.89
Alessandra Mcculloch GIRL  2112 2.01
Juniper Adkins GIRL  2113 0.27
Fatima Wilder GIRL  2114 3.24
Raelyn Fritz GIRL  2115 3.37
Amira Molloy GIRL  2116 2.97
Arielle Roy GIRL  2117 1.1
Phoebe Worthington GIRL  2118 3.31
Kinley Millar GIRL  2119 0.91
Ada Bradley GIRL  2120 3.31
Nina Strickland GIRL  2121 1.07
Ariah Burke GIRL  2122 0.82
Samara Choi GIRL  2123 2.29
Myla Newton GIRL  2124 1.51
Brinley Madden GIRL  2125 1.72
Cassidy Delacruz GIRL  2126 1.31
Maci Little GIRL  2127 0.23
Aspen Esquivel GIRL  2128 2.49
Allie Guzman GIRL  2129 3.42
Keira North GIRL  2130 0.06
Kaia Palacios GIRL  2131 1.52
Makenna Montgomery GIRL  2132 1.09
Amanda Pham GIRL  2133 2.29
Heaven Cantu GIRL  2134 3.68
Joy Hodgson GIRL  2135 2.88
Lia Bevan GIRL  2136 3.19
Madilyn Donald GIRL  2137 2.35
Gracelyn Kramer GIRL  2138 0.63
Laura Cherry GIRL  2139 0.39
Evelynn Hodgson GIRL  2140 0.06
Lexi Herrera GIRL  2141 1.81
Haley Plummer GIRL  2142 0.16
Miranda Rhodes GIRL  2143 3.75
Kaitlyn Peck GIRL  2144 3.99
Daniella Stott GIRL  2145 2.84
Felicity Baker GIRL  2146 1.52
Jacqueline Gould GIRL  2147 0.65
Evie Valenzuela GIRL  2148 1.63
Angel Sargent GIRL  2149 0.47
Danielle Wyatt GIRL  2150 2.02
Ainsley Lim GIRL  2151 0.36
Dylan Branch GIRL  2152 0.46
Kiara Coles GIRL  2153 0.84
Millie Valenzuela GIRL  2154 0.92
Jordan Holcomb GIRL  2155 3.94
Maddison Wicks GIRL  2156 1.99
Rylie Smyth GIRL  2157 1.73
Alicia Dejesus GIRL  2158 1.31
Maeve Brookes GIRL  2159 0.54
Margot Coleman GIRL  2160 0.84
Kylee Povey GIRL  2161 3.0
Phoenix Underwood GIRL  2162 2.79
Heidi Silva GIRL  2163 3.52
Zuri Farmer GIRL  2164 1.21
Alondra Hendrix GIRL  2165 1.54
Lana Macdonald GIRL  2166 0.95
Madeleine Lang GIRL  2167 0.96
Gracelynn Coles GIRL  2168 1.91
Kenzie Orozco GIRL  2169 0.29
Miracle Griffith GIRL  2170 2.85
Shelby Cleveland GIRL  2171 1.35
Elle Velasquez GIRL  2172 3.94
Adrianna Day GIRL  2173 0.25
Bianca Doyle GIRL  2174 0.98
Addilyn Robson GIRL  2175 0.03
Kira Ball GIRL  2176 0.4
Veronica Hickman GIRL  2177 3.38
Gwendolyn Jarvis GIRL  2178 3.61
Esmeralda Dean GIRL  2179 3.1
Chelsea Prentice GIRL  2180 1.61
Alison Yoder GIRL  2181 1.87
Skyler Snider GIRL  2182 3.06
Magnolia Jackson GIRL  2183 2.1
Daphne Currie GIRL  2184 0.3
Jenna Lucero GIRL  2185 0.99
Everleigh Tanner GIRL  2186 1.05
Kyla Barry GIRL  2187 0.04
Braelynn Grant GIRL  2188 1.21
Harlow Haney GIRL  2189 1.9
Annalise Lutz GIRL  2190 0.26
Mikayla Flower GIRL  2191 2.71
Dahlia Simons GIRL  2192 1.53
Maliyah Lennon GIRL  2193 3.05
Averie Arellano GIRL  2194 2.7
Scarlet Sharp GIRL  2195 0.25
Kayleigh Wagstaff GIRL  2196 2.43
Luciana Stout GIRL  2197 2.53
Kelsey Wardle GIRL  2198 0.49
Nadia Kirkland GIRL  2199 1.64
Amber Holt GIRL  2200 0.27
Gia Prentice GIRL  2201 3.69
Kamryn Cleveland GIRL  2202 1.56
Yaretzi Kim GIRL  2203 0.44
Carmen Cortez GIRL  2204 2.05
Jimena Petty GIRL  2205 2.6
Erin Firth GIRL  2206 0.48
Christina Carty GIRL  2207 3.46
Katie Higgins GIRL  2208 0.41
Ryan Forrest GIRL  2209 0.28
Viviana Walls GIRL  2210 3.75
Alexia Chambers GIRL  2211 2.47
Anaya Colon GIRL  2212 1.54
Serena Estrada GIRL  2213 2.81
Katelyn Petersen GIRL  2214 0.62
Ophelia Davenport GIRL  2215 2.41
Regina Pennington GIRL  2216 0.49
Helen Owen GIRL  2217 1.26
Remington Barrett GIRL  2218 0.28
Camryn Laing GIRL  2219 0.1
Cadence Flynn GIRL  2220 2.67
Royalty Miles GIRL  2221 3.74
Amari Whitney GIRL  2222 3.69
Kathryn Pham GIRL  2223 1.48
Skye Blair GIRL  2224 1.53
Emely Gross GIRL  2225 0.96
Jada Duke GIRL  2226 2.84
Ariyah Rennie GIRL  2227 1.9
Aylin Barnes GIRL  2228 1.16
Saylor Bradley GIRL  2229 3.24
Kendra Britton GIRL  2230 1.71
Cheyenne Andersen GIRL  2231 0.15
Fernanda Galloway GIRL  2232 2.09
Sabrina Mcguire GIRL  2233 0.39
Francesca Parker GIRL  2234 3.95
Eve Yang GIRL  2235 1.95
Mckinley Kirby GIRL  2236 1.06
Frances Sierra GIRL  2237 0.57
Sarai Connolly GIRL  2238 4.0
Carolina Wood GIRL  2239 2.94
Kennedi Travis GIRL  2240 0.03
Nylah Bloggs GIRL  2241 1.93
Tatum Wills GIRL  2242 3.46
Alani Fritz GIRL  2243 2.33
Lennon Flores GIRL  2244 1.92
Raven Austin GIRL  2245 3.95
Zariah Bender GIRL  2246 0.56
Leslie Guy GIRL  2247 1.23
Winter Robson GIRL  2248 1.34
Abby Calhoun GIRL  2249 3.09
Mabel Ashley GIRL  2250 3.66
Sierra Howard GIRL  2251 0.73
April Gunn GIRL  2252 3.57
